,Unnamed: 0,Unnamed: 0.1,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,COUNT_THROWS_LOC,ON_COURT_LOC_X,ON_COURT_LOC_Y,FG_LOCATION,PLAYER_MOST_FREQUENCY_LOC,FG_OF_PLAYER_MOST_FREQUENCY_LOC,AMOUNT_THROWS_OF_PLAYER_MOST_FREQUENCY_LOC,season
0,0,5,Shot Chart Detail,20000001,20,689,Theo Ratliff,1610612755,Philadelphia 76ers,1,10,8,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20001031,NYK,PHI,44004,0.583333333,2.5,0.633828743,Shaquille O'Neal,0.805405405,555,2000
1,1,1301,Shot Chart Detail,20000009,152,696,Travis Best,1610612754,Indiana Pacers,2,7,6,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,2,1,1,20001031,SAS,IND,1748,-15.58333333,2.5,0.610983982,Antoine Walker,0.623188406,69,2000
2,2,954,Shot Chart Detail,20000007,81,2059,Eduardo Najera,1610612742,Dallas Mavericks,1,3,47,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,7,1,0,20001031,DAL,MIL,1472,16.75,2.5,0.595108696,Paul Pierce,0.423076923,52,2000
3,3,121,Shot Chart Detail,20000001,424,779,Glen Rice,1610612752,New York Knicks,4,4,42,Made Shot,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-6,61,1,1,20001031,NYK,PHI,1403,0.583333333,62.5,0.445473984,Elton Brand,0.631578947,38,2000
4,4,222,Shot Chart Detail,20000002,275,980,Zydrunas Ilgauskas,1610612739,Cleveland Cavaliers,3,10,55,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,7,51,1,0,20001031,NJN,CLE,1339,0.583333333,47.5,0.392083645,Gary Payton,0.580645161,31,2000
5,5,1313,Shot Chart Detail,20000009,181,696,Travis Best,1610612754,Indiana Pacers,2,3,9,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,23,1,0,20001031,SAS,IND,1276,0.583333333,17.5,0.562695925,Antoine Walker,0.428571429,49,2000
6,6,339,Shot Chart Detail,20000003,130,1503,Tracy McGrady,1610612753,Orlando Magic,2,11,30,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,15,1,0,20001031,ORL,WAS,1148,16.75,17.5,0.428571429,Antoine Walker,0.488372093,43,2000
7,7,934,Shot Chart Detail,20000007,30,679,Jason Caffey,1610612749,Milwaukee Bucks,1,8,18,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,23,1,0,20001031,DAL,MIL,1101,-15.58333333,17.5,0.501362398,Antoine Walker,0.569767442,86,2000
8,8,53,Shot Chart Detail,20000001,154,703,Kurt Thomas,1610612752,New York Knicks,2,6,56,Made Shot,Turnaround Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,0,34,1,1,20001031,NYK,PHI,1067,0.583333333,32.5,0.385192127,Antoine Walker,0.290322581,31,2000
9,9,536,Shot Chart Detail,20000004,268,469,Jamal Mashburn,1610612766,Charlotte Hornets,3,8,44,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-151,9,1,1,20001031,ATL,CHH,974,-144.9166667,2.5,0.394250513,Antonio McDyess,0.54,50,2000
10,10,314,Shot Chart Detail,20000003,53,353,Darrell Armstrong,1610612753,Orlando Magic,1,6,15,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-157,4,1,1,20001031,ORL,WAS,957,-161.0833333,2.5,0.398119122,Antonio McDyess,0.441860465,43,2000
11,11,81,Shot Chart Detail,20000001,271,727,Eric Snow,1610612755,Philadelphia 76ers,3,6,57,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,150,7,1,0,20001031,NYK,PHI,942,146.0833333,2.5,0.373673036,Jerry Stackhouse,0.333333333,21,2000
12,12,299,Shot Chart Detail,20000003,2,680,John Amaechi,1610612753,Orlando Magic,1,11,45,Missed Shot,Running Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,11,30,1,0,20001031,ORL,WAS,887,16.75,32.5,0.361894025,Jermaine O'Neal,0.277777778,18,2000
13,13,49,Shot Chart Detail,20000001,148,84,Latrell Sprewell,1610612752,New York Knicks,2,8,5,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-178,7,1,0,20001031,NYK,PHI,863,-177.25,2.5,0.418308227,Jerry Stackhouse,0.321428571,28,2000
14,14,359,Shot Chart Detail,20000003,198,1888,Richard Hamilton,1610612764,Washington Wizards,2,5,47,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,167,0,1,0,20001031,ORL,WAS,863,162.25,2.5,0.353418308,Jerry Stackhouse,0.366666667,30,2000
15,15,326,Shot Chart Detail,20000003,95,353,Darrell Armstrong,1610612753,Orlando Magic,1,2,46,Missed Shot,Jump Shot,3PT Field Goal,Above The break 3,Right Side(R),24+ ft.,22,226,9,1,0,20001031,ORL,WAS,858,226.9166667,2.5,0.377622378,Dirk Nowitzki,0.433333333,30,2000
16,16,1046,Shot Chart Detail,20000007,402,714,Michael Finley,1610612742,Dallas Mavericks,3,0,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-18,28,1,1,20001031,DAL,MIL,837,-15.58333333,32.5,0.383512545,Antoine Walker,0.409090909,22,2000
17,17,412,Shot Chart Detail,20000003,361,1918,Obinna Ekezie,1610612764,Washington Wizards,3,1,53,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-16,42,1,0,20001031,ORL,WAS,835,-15.58333333,47.5,0.37005988,Juwan Howard,0.25,20,2000
18,18,91,Shot Chart Detail,20000001,305,689,Theo Ratliff,1610612755,Philadelphia 76ers,3,3,23,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-136,2,1,0,20001031,NYK,PHI,821,-128.75,2.5,0.41047503,Hakeem Olajuwon,0.4,25,2000
19,19,181,Shot Chart Detail,20000002,133,1714,Robert Traylor,1610612739,Cleveland Cavaliers,2,11,9,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,22,51,1,1,20001031,NJN,CLE,802,16.75,47.5,0.380299252,Shaquille O'Neal,0.473684211,19,2000
